term,count
甘草,476
桂枝,313
生薑,225
芍藥,203
大棗,198
人參,187
半夏,179
乾薑,162
附子,155
茯苓,138
大黃,128
黃芩,123
白朮,113
麻黃,113
黃連,106
枳實,74
石膏,67
柴胡,63
杏仁,62
厚朴,61
芒硝,52
梔子,51
當歸,46
澤瀉,40
細辛,36
阿膠,35
牡蠣,34
知母,33
粳米,31
葛根,29
