term,count
脈浮,1010
脈微,406
脈沉,382
脈弦,379
脈遲,287
脈浮緊,223
脈數,212
脈浮數,172
脈滑,163
脈微弱,159
脈大,148
脈促,141
脈沉緊,126
脈弱,126
脈緊,126
脈浮大,109
脈細,104
脈實,92
脈浮虛,88
脈陰陽俱緊,83
脈微欲絕,79
脈澀,76
脈洪大,75
脈浮滑,69
脈虛,69
脈浮緩,69
脈沉遲,58
寸口脈浮,54
脈不至,53
脈短,49
