term,count
發熱,2011
汗出,1709
渴,1411
惡寒,1381
厥,1172
喘,935
譫語,682
無汗,602
煩躁,598
頭痛,528
潮熱,410
惡風,404
四逆,369
胸滿,340
不大便,336
心煩,331
乾嘔,331
咳,314
小便利,291
不能食,266
寒熱,259
不得眠,259
短氣,246
衄,231
身疼痛,209
不得臥,208
發黃,206
腹痛,205
自汗出,200
手足溫,197
