term,count
桂枝湯,544
大承氣湯,405
小柴胡湯,391
麻黃湯,299
四逆湯,287
五苓散,260
白虎湯,176
調胃承氣湯,170
大陷胸湯,168
白虎加人參湯,159
小承氣湯,152
承氣湯,150
梔子豉湯,139
葛根湯,109
大柴胡湯,109
吳茱萸湯,105
豬苓湯,104
抵當湯,100
小青龍湯,98
小建中湯,94
通脈四逆湯,85
十棗湯,72
真武湯,71
瀉心湯,68
茵陳蒿湯,67
桃花湯,67
大青龍湯,65
白通湯,63
附子湯,61
瓜蒂散,60
